replicate,female_age,treatment,vial,total_offspring,days,days_since_mating_opp
1,47-53,low,8,0,5,NA
1,47-53,low,9,0,4,NA
1,47-53,low,10,0,7,NA
1,47-53,low,11,NA,7,NA
1,47-53,low,12,NA,7,NA
1,47-53,low,13,0,6,NA
1,47-53,low,14,0,7,NA
1,47-53,low,15,0,5,NA
1,47-53,low,16,NA,7,NA
1,47-53,low,17,0,7,NA
1,47-53,low,18,NA,7,NA
1,47-53,low,19,0,7,NA
1,47-53,low,20,0,3,NA
1,47-53,medium,1,NA,7,NA
1,47-53,medium,2,NA,7,NA
1,47-53,medium,3,NA,7,NA
1,47-53,medium,4,NA,7,NA
1,47-53,medium,5,NA,7,NA
1,47-53,medium,6,0,6,NA
1,47-53,medium,7,NA,7,NA
1,47-53,medium,8,NA,7,NA
1,47-53,medium,9,NA,7,NA
1,47-53,medium,10,0,4,NA
1,47-53,medium,11,3,7,NA
1,47-53,medium,12,0,3,NA
1,47-53,medium,13,1,7,NA
1,47-53,medium,14,NA,7,NA
1,47-53,medium,15,NA,7,NA
1,47-53,medium,16,0,7,NA
1,47-53,medium,17,NA,7,NA
1,47-53,medium,18,NA,7,NA
1,47-53,medium,19,NA,7,NA
1,47-53,medium,20,NA,7,NA
1,47-53,high,1,NA,7,NA
1,47-53,high,2,0,7,NA
1,47-53,high,3,0,7,NA
1,47-53,high,4,NA,7,NA
1,47-53,high,5,NA,7,NA
1,47-53,high,6,0,7,NA
1,47-53,high,7,0,7,NA
1,47-53,high,8,5,7,NA
1,47-53,high,9,NA,7,NA
1,47-53,high,10,NA,7,NA
1,47-53,high,11,0,7,NA
1,47-53,high,12,0,7,NA
1,47-53,high,13,NA,7,NA
1,47-53,high,14,NA,7,NA
1,47-53,high,15,NA,7,NA
1,47-53,high,16,NA,7,NA
1,47-53,high,17,NA,7,NA
1,47-53,high,18,NA,7,NA
1,47-53,high,19,0,6,NA
1,47-53,high,20,0,4,NA
2,05-Apr,low,1,97,2,1
2,05-Apr,low,2,81,2,1
2,05-Apr,low,3,87,2,1
2,05-Apr,low,4,1,2,1
2,05-Apr,low,5,14,2,1
2,05-Apr,low,6,80,2,1
2,05-Apr,low,7,63,2,1
2,05-Apr,low,8,89,2,1
2,05-Apr,low,9,0,2,1
2,05-Apr,low,10,36,2,1
2,05-Apr,low,11,29,2,1
2,05-Apr,low,12,81,2,1
2,05-Apr,low,13,102,2,1
2,05-Apr,low,14,120,2,1
2,05-Apr,low,15,125,2,1
2,05-Apr,low,16,124,2,1
2,05-Apr,low,17,84,2,1
2,05-Apr,low,18,45,2,1
2,05-Apr,low,19,128,2,1
2,05-Apr,low,20,101,2,1
2,05-Apr,medium,1,118,2,1
2,05-Apr,medium,2,122,2,1
2,05-Apr,medium,3,89,2,1
2,05-Apr,medium,4,39,2,1
2,05-Apr,medium,5,123,2,1
2,05-Apr,medium,6,47,2,1
2,05-Apr,medium,7,106,2,1
2,05-Apr,medium,8,60,2,1
2,05-Apr,medium,9,100,2,1
2,05-Apr,medium,10,116,2,1
2,05-Apr,medium,11,62,2,1
2,05-Apr,medium,12,0,2,1
2,05-Apr,medium,13,127,2,1
2,05-Apr,medium,14,87,2,1
2,05-Apr,medium,15,121,2,1
2,05-Apr,medium,16,60,2,1
2,05-Apr,medium,17,98,2,1
2,05-Apr,medium,18,38,2,1
2,05-Apr,medium,19,102,2,1
2,05-Apr,medium,20,84,2,1
2,05-Apr,high,1,109,2,1
2,05-Apr,high,2,56,2,1
2,05-Apr,high,3,81,2,1
2,05-Apr,high,4,122,2,1
2,05-Apr,high,5,106,2,1
2,05-Apr,high,6,0,2,1
2,05-Apr,high,7,102,2,1
2,05-Apr,high,8,126,2,1
2,05-Apr,high,9,105,2,1
2,05-Apr,high,10,94,2,1
2,05-Apr,high,11,144,2,1
2,05-Apr,high,12,104,2,1
2,05-Apr,high,13,109,2,1
2,05-Apr,high,14,86,2,1
2,05-Apr,high,15,69,2,1
2,05-Apr,high,16,83,2,1
2,05-Apr,high,17,73,2,1
2,05-Apr,high,18,69,2,1
2,05-Apr,high,19,112,2,1
2,05-Apr,high,20,91,2,1
2,07-Jun,low,1,113,2,3
2,07-Jun,low,2,102,2,3
2,07-Jun,low,3,111,2,3
2,07-Jun,low,4,NA,2,3
2,07-Jun,low,5,0,2,3
2,07-Jun,low,6,86,2,3
2,07-Jun,low,7,79,2,3
2,07-Jun,low,8,143,2,3
2,07-Jun,low,9,0,2,3
2,07-Jun,low,10,70,2,3
2,07-Jun,low,11,27,2,3
2,07-Jun,low,12,94,2,3
2,07-Jun,low,13,171,2,3
2,07-Jun,low,14,153,2,3
2,07-Jun,low,15,156,2,3
2,07-Jun,low,16,30,2,3
2,07-Jun,low,17,96,2,3
2,07-Jun,low,18,28,2,3
2,07-Jun,low,19,175,2,3
2,07-Jun,low,20,115,2,3
2,07-Jun,medium,1,126,2,3
2,07-Jun,medium,2,158,2,3
2,07-Jun,medium,3,121,2,3
2,07-Jun,medium,4,108,2,3
2,07-Jun,medium,5,39,2,3
2,07-Jun,medium,6,62,2,3
2,07-Jun,medium,7,114,2,3
2,07-Jun,medium,8,0,2,3
2,07-Jun,medium,9,122,2,3
2,07-Jun,medium,10,74,2,3
2,07-Jun,medium,11,93,2,3
2,07-Jun,medium,12,13,2,3
2,07-Jun,medium,13,144,2,3
2,07-Jun,medium,14,85,2,3
2,07-Jun,medium,15,108,2,3
2,07-Jun,medium,16,48,2,3
2,07-Jun,medium,17,48,2,3
2,07-Jun,medium,18,85,2,3
2,07-Jun,medium,19,155,2,3
2,07-Jun,medium,20,71,2,3
2,07-Jun,high,1,115,2,3
2,07-Jun,high,2,95,2,3
2,07-Jun,high,3,70,2,3
2,07-Jun,high,4,125,2,3
2,07-Jun,high,5,126,2,3
2,07-Jun,high,6,0,2,3
2,07-Jun,high,7,92,2,3
2,07-Jun,high,8,120,2,3
2,07-Jun,high,9,123,2,3
2,07-Jun,high,10,79,2,3
2,07-Jun,high,11,156,2,3
2,07-Jun,high,12,148,2,3
2,07-Jun,high,13,136,2,3
2,07-Jun,high,14,112,2,3
2,07-Jun,high,15,109,2,3
2,07-Jun,high,16,117,2,3
2,07-Jun,high,17,129,2,3
2,07-Jun,high,18,95,2,3
2,07-Jun,high,19,161,2,3
2,07-Jun,high,20,130,2,3
2,09-Aug,low,1,99,2,5
2,09-Aug,low,2,28,2,5
2,09-Aug,low,3,70,2,5
2,09-Aug,low,4,NA,2,5
2,09-Aug,low,5,15,2,5
2,09-Aug,low,6,72,2,5
2,09-Aug,low,7,74,2,5
2,09-Aug,low,8,128,2,5
2,09-Aug,low,9,0,2,5
2,09-Aug,low,10,46,2,5
2,09-Aug,low,11,26,2,5
2,09-Aug,low,12,77,2,5
2,09-Aug,low,13,122,2,5
2,09-Aug,low,14,126,2,5
2,09-Aug,low,15,151,2,5
2,09-Aug,low,16,1,2,5
2,09-Aug,low,17,62,2,5
2,09-Aug,low,18,35,2,5
2,09-Aug,low,19,18,2,5
2,09-Aug,low,20,97,2,5
2,09-Aug,medium,1,139,2,5
2,09-Aug,medium,2,129,2,5
2,09-Aug,medium,3,81,2,5
2,09-Aug,medium,4,56,2,5
2,09-Aug,medium,5,141,2,5
2,09-Aug,medium,6,48,2,5
2,09-Aug,medium,7,84,2,5
2,09-Aug,medium,8,10,2,5
2,09-Aug,medium,9,132,2,5
2,09-Aug,medium,10,117,2,5
2,09-Aug,medium,11,104,2,5
2,09-Aug,medium,12,61,2,5
2,09-Aug,medium,13,104,2,5
2,09-Aug,medium,14,106,2,5
2,09-Aug,medium,15,129,2,5
2,09-Aug,medium,16,NA,2,5
2,09-Aug,medium,17,54,2,5
2,09-Aug,medium,18,83,2,5
2,09-Aug,medium,19,125,2,5
2,09-Aug,medium,20,112,2,5
2,09-Aug,high,1,126,2,5
2,09-Aug,high,2,117,2,5
2,09-Aug,high,3,51,2,5
2,09-Aug,high,4,55,2,5
2,09-Aug,high,5,120,2,5
2,09-Aug,high,6,90,2,5
2,09-Aug,high,7,46,2,5
2,09-Aug,high,8,53,2,5
2,09-Aug,high,9,127,2,5
2,09-Aug,high,10,88,2,5
2,09-Aug,high,11,178,2,5
2,09-Aug,high,12,118,2,5
2,09-Aug,high,13,126,2,5
2,09-Aug,high,14,47,2,5
2,09-Aug,high,15,114,2,5
2,09-Aug,high,16,30,2,5
2,09-Aug,high,17,109,2,5
2,09-Aug,high,18,107,2,5
2,09-Aug,high,19,101,2,5
2,09-Aug,high,20,121,2,5
2,11-Oct,low,1,41,2,7
2,11-Oct,low,2,5,2,7
2,11-Oct,low,3,53,2,7
2,11-Oct,low,4,NA,2,7
2,11-Oct,low,5,2,2,7
2,11-Oct,low,6,70,2,7
2,11-Oct,low,7,72,2,7
2,11-Oct,low,8,88,2,7
2,11-Oct,low,9,0,2,7
2,11-Oct,low,10,65,2,7
2,11-Oct,low,11,20,2,7
2,11-Oct,low,12,15,2,7
2,11-Oct,low,13,35,2,7
2,11-Oct,low,14,77,2,7
2,11-Oct,low,15,50,2,7
2,11-Oct,low,16,0,2,7
2,11-Oct,low,17,67,2,7
2,11-Oct,low,18,0,2,7
2,11-Oct,low,19,0,2,7
2,11-Oct,low,20,2,2,7
2,11-Oct,medium,1,106,2,7
2,11-Oct,medium,2,59,2,7
2,11-Oct,medium,3,0,2,7
2,11-Oct,medium,4,47,2,7
2,11-Oct,medium,5,0,2,7
2,11-Oct,medium,6,19,2,7
2,11-Oct,medium,7,35,2,7
2,11-Oct,medium,8,0,2,7
2,11-Oct,medium,9,95,2,7
2,11-Oct,medium,10,94,2,7
2,11-Oct,medium,11,25,2,7
2,11-Oct,medium,12,22,2,7
2,11-Oct,medium,13,129,2,7
2,11-Oct,medium,14,46,2,7
2,11-Oct,medium,15,80,2,7
2,11-Oct,medium,16,NA,2,7
2,11-Oct,medium,17,60,2,7
2,11-Oct,medium,18,64,2,7
2,11-Oct,medium,19,83,2,7
2,11-Oct,medium,20,77,2,7
2,11-Oct,high,1,76,2,7
2,11-Oct,high,2,100,2,7
2,11-Oct,high,3,89,2,7
2,11-Oct,high,4,145,2,7
2,11-Oct,high,5,94,2,7
2,11-Oct,high,6,139,2,7
2,11-Oct,high,7,69,2,7
2,11-Oct,high,8,129,2,7
2,11-Oct,high,9,94,2,7
2,11-Oct,high,10,60,2,7
2,11-Oct,high,11,127,2,7
2,11-Oct,high,12,76,2,7
2,11-Oct,high,13,83,2,7
2,11-Oct,high,14,73,2,7
2,11-Oct,high,15,97,2,7
2,11-Oct,high,16,83,2,7
2,11-Oct,high,17,107,2,7
2,11-Oct,high,18,67,2,7
2,11-Oct,high,19,106,2,7
2,11-Oct,high,20,130,2,7
2,13-Dec,low,1,104,2,1
2,13-Dec,low,2,109,2,1
2,13-Dec,low,3,72,2,1
2,13-Dec,low,4,NA,2,1
2,13-Dec,low,5,77,2,1
2,13-Dec,low,6,1,2,1
2,13-Dec,low,7,58,2,1
2,13-Dec,low,8,101,2,1
2,13-Dec,low,9,100,2,1
2,13-Dec,low,10,37,2,1
2,13-Dec,low,11,4,2,1
2,13-Dec,low,12,81,2,1
2,13-Dec,low,13,155,2,1
2,13-Dec,low,14,117,2,1
2,13-Dec,low,15,91,2,1
2,13-Dec,low,16,112,2,1
2,13-Dec,low,17,78,2,1
2,13-Dec,low,18,32,2,1
2,13-Dec,low,19,175,2,1
2,13-Dec,low,20,16,2,1
2,13-Dec,medium,1,110,2,1
2,13-Dec,medium,2,89,2,1
2,13-Dec,medium,3,129,2,1
2,13-Dec,medium,4,95,2,1
2,13-Dec,medium,5,0,2,1
2,13-Dec,medium,6,59,2,1
2,13-Dec,medium,7,20,2,1
2,13-Dec,medium,8,82,2,1
2,13-Dec,medium,9,101,2,1
2,13-Dec,medium,10,109,2,1
2,13-Dec,medium,11,36,2,1
2,13-Dec,medium,12,48,2,1
2,13-Dec,medium,13,122,2,1
2,13-Dec,medium,14,105,2,1
2,13-Dec,medium,15,86,2,1
2,13-Dec,medium,16,NA,2,1
2,13-Dec,medium,17,47,2,1
2,13-Dec,medium,18,0,2,1
2,13-Dec,medium,19,86,2,1
2,13-Dec,medium,20,65,2,1
2,13-Dec,high,1,80,2,1
2,13-Dec,high,2,63,2,1
2,13-Dec,high,3,109,2,1
2,13-Dec,high,4,112,2,1
2,13-Dec,high,5,97,2,1
2,13-Dec,high,6,146,2,1
2,13-Dec,high,7,63,2,1
2,13-Dec,high,8,83,2,1
2,13-Dec,high,9,81,2,1
2,13-Dec,high,10,100,2,1
2,13-Dec,high,11,145,2,1
2,13-Dec,high,12,87,2,1
2,13-Dec,high,13,49,2,1
2,13-Dec,high,14,92,2,1
2,13-Dec,high,15,103,2,1
2,13-Dec,high,16,35,2,1
2,13-Dec,high,17,41,2,1
2,13-Dec,high,18,87,2,1
2,13-Dec,high,19,97,2,1
2,13-Dec,high,20,97,2,1
2,14-15,low,1,103,2,3
2,14-15,low,2,105,2,3
2,14-15,low,3,74,2,3
2,14-15,low,4,NA,2,3
2,14-15,low,5,93,2,3
2,14-15,low,6,0,2,3
2,14-15,low,7,53,2,3
2,14-15,low,8,120,2,3
2,14-15,low,9,136,2,3
2,14-15,low,10,22,2,3
2,14-15,low,11,0,2,3
2,14-15,low,12,67,2,3
2,14-15,low,13,167,2,3
2,14-15,low,14,111,2,3
2,14-15,low,15,91,2,3
2,14-15,low,16,110,2,3
2,14-15,low,17,112,2,3
2,14-15,low,18,29,2,3
2,14-15,low,19,42,2,3
2,14-15,low,20,0,2,3
2,14-15,medium,1,44,2,3
2,14-15,medium,2,112,2,3
2,14-15,medium,3,146,2,3
2,14-15,medium,4,89,2,3
2,14-15,medium,5,0,2,3
2,14-15,medium,6,71,2,3
2,14-15,medium,7,12,2,3
2,14-15,medium,8,59,2,3
2,14-15,medium,9,97,2,3
2,14-15,medium,10,23,2,3
2,14-15,medium,11,7,2,3
2,14-15,medium,12,33,2,3
2,14-15,medium,13,3,2,3
2,14-15,medium,14,104,2,3
2,14-15,medium,15,78,2,3
2,14-15,medium,16,NA,2,3
2,14-15,medium,17,40,2,3
2,14-15,medium,18,0,2,3
2,14-15,medium,19,58,2,3
2,14-15,medium,20,88,2,3
2,14-15,high,1,86,2,3
2,14-15,high,2,56,2,3
2,14-15,high,3,98,2,3
2,14-15,high,4,128,2,3
2,14-15,high,5,114,2,3
2,14-15,high,6,43,2,3
2,14-15,high,7,81,2,3
2,14-15,high,8,41,2,3
2,14-15,high,9,93,2,3
2,14-15,high,10,90,2,3
2,14-15,high,11,19,2,3
2,14-15,high,12,95,2,3
2,14-15,high,13,0,2,3
2,14-15,high,14,84,2,3
2,14-15,high,15,87,2,3
2,14-15,high,16,88,2,3
2,14-15,high,17,148,2,3
2,14-15,high,18,93,2,3
2,14-15,high,19,138,2,3
2,14-15,high,20,105,2,3
2,16-17,low,1,108,2,5
2,16-17,low,2,20,2,5
2,16-17,low,3,88,2,5
2,16-17,low,4,0,2,5
2,16-17,low,5,73,2,5
2,16-17,low,6,6,2,5
2,16-17,low,7,6,2,5
2,16-17,low,8,126,2,5
2,16-17,low,9,112,2,5
2,16-17,low,10,22,2,5
2,16-17,low,11,0,2,5
2,16-17,low,12,67,2,5
2,16-17,low,13,133,2,5
2,16-17,low,14,114,2,5
2,16-17,low,15,72,2,5
2,16-17,low,16,114,2,5
2,16-17,low,17,59,2,5
2,16-17,low,18,28,2,5
2,16-17,low,19,0,2,5
2,16-17,low,20,0,2,5
2,16-17,medium,1,37,2,5
2,16-17,medium,2,99,2,5
2,16-17,medium,3,6,2,5
2,16-17,medium,4,89,2,5
2,16-17,medium,5,18,2,5
2,16-17,medium,6,72,2,5
2,16-17,medium,7,101,2,5
2,16-17,medium,8,86,2,5
2,16-17,medium,9,32,2,5
2,16-17,medium,10,73,2,5
2,16-17,medium,11,108,2,5
2,16-17,medium,12,22,2,5
2,16-17,medium,13,112,2,5
2,16-17,medium,14,79,2,5
2,16-17,medium,15,0,2,5
2,16-17,medium,16,0,2,5
2,16-17,medium,17,26,2,5
2,16-17,medium,18,58,2,5
2,16-17,medium,19,122,2,5
2,16-17,medium,20,98,2,5
2,16-17,high,1,93,2,5
2,16-17,high,2,35,2,5
2,16-17,high,3,36,2,5
2,16-17,high,4,119,2,5
2,16-17,high,5,29,2,5
2,16-17,high,6,119,2,5
2,16-17,high,7,59,2,5
2,16-17,high,8,23,2,5
2,16-17,high,9,100,2,5
2,16-17,high,10,86,2,5
2,16-17,high,11,127,2,5
2,16-17,high,12,73,2,5
2,16-17,high,13,0,2,5
2,16-17,high,14,64,2,5
2,16-17,high,15,112,2,5
2,16-17,high,16,84,2,5
2,16-17,high,17,112,2,5
2,16-17,high,18,21,2,5
2,16-17,high,19,113,2,5
2,16-17,high,20,72,2,5
2,18-19,low,1,13,2,7
2,18-19,low,2,8,2,7
2,18-19,low,3,66,2,7
2,18-19,low,4,NA,2,7
2,18-19,low,5,73,2,7
2,18-19,low,6,0,2,7
2,18-19,low,7,0,2,7
2,18-19,low,8,82,2,7
2,18-19,low,9,12,2,7
2,18-19,low,10,12,2,7
2,18-19,low,11,0,2,7
2,18-19,low,12,13,2,7
2,18-19,low,13,6,2,7
2,18-19,low,14,65,2,7
2,18-19,low,15,70,2,7
2,18-19,low,16,22,2,7
2,18-19,low,17,0,2,7
2,18-19,low,18,23,2,7
2,18-19,low,19,0,2,7
2,18-19,low,20,0,2,7
2,18-19,medium,1,25,2,7
2,18-19,medium,2,106,2,7
2,18-19,medium,3,0,2,7
2,18-19,medium,4,98,2,7
2,18-19,medium,5,7,2,7
2,18-19,medium,6,56,2,7
2,18-19,medium,7,81,2,7
2,18-19,medium,8,66,2,7
2,18-19,medium,9,4,2,7
2,18-19,medium,10,106,2,7
2,18-19,medium,11,54,2,7
2,18-19,medium,12,NA,2,7
2,18-19,medium,13,117,2,7
2,18-19,medium,14,89,2,7
2,18-19,medium,15,0,2,7
2,18-19,medium,16,NA,2,7
2,18-19,medium,17,16,2,7
2,18-19,medium,18,82,2,7
2,18-19,medium,19,124,2,7
2,18-19,medium,20,74,2,7
2,18-19,high,1,110,2,7
2,18-19,high,2,52,2,7
2,18-19,high,3,100,2,7
2,18-19,high,4,118,2,7
2,18-19,high,5,97,2,7
2,18-19,high,6,126,2,7
2,18-19,high,7,51,2,7
2,18-19,high,8,106,2,7
2,18-19,high,9,93,2,7
2,18-19,high,10,123,2,7
2,18-19,high,11,128,2,7
2,18-19,high,12,97,2,7
2,18-19,high,13,7,2,7
2,18-19,high,14,41,2,7
2,18-19,high,15,94,2,7
2,18-19,high,16,11,2,7
2,18-19,high,17,89,2,7
2,18-19,high,18,2,2,7
2,18-19,high,19,111,2,7
2,18-19,high,20,119,2,7
2,20-21,low,1,0,2,1
2,20-21,low,2,113,2,1
2,20-21,low,3,94,2,1
2,20-21,low,4,NA,2,1
2,20-21,low,5,80,2,1
2,20-21,low,6,67,2,1
2,20-21,low,7,74,2,1
2,20-21,low,8,101,2,1
2,20-21,low,9,88,2,1
2,20-21,low,10,10,2,1
2,20-21,low,11,0,2,1
2,20-21,low,12,57,2,1
2,20-21,low,13,114,2,1
2,20-21,low,14,108,2,1
2,20-21,low,15,20,2,1
2,20-21,low,16,105,2,1
2,20-21,low,17,83,2,1
2,20-21,low,18,25,2,1
2,20-21,low,19,72,2,1
2,20-21,low,20,0,2,1
2,20-21,medium,1,1,2,1
2,20-21,medium,2,91,2,1
2,20-21,medium,3,10,2,1
2,20-21,medium,4,91,2,1
2,20-21,medium,5,0,2,1
2,20-21,medium,6,59,2,1
2,20-21,medium,7,99,2,1
2,20-21,medium,8,57,2,1
2,20-21,medium,9,8,2,1
2,20-21,medium,10,94,2,1
2,20-21,medium,11,2,2,1
2,20-21,medium,12,31,2,1
2,20-21,medium,13,104,2,1
2,20-21,medium,14,92,2,1
2,20-21,medium,15,0,2,1
2,20-21,medium,16,NA,2,1
2,20-21,medium,17,22,2,1
2,20-21,medium,18,63,2,1
2,20-21,medium,19,92,2,1
2,20-21,medium,20,49,2,1
2,20-21,high,1,100,2,1
2,20-21,high,2,31,2,1
2,20-21,high,3,82,2,1
2,20-21,high,4,103,2,1
2,20-21,high,5,93,2,1
2,20-21,high,6,104,2,1
2,20-21,high,7,71,2,1
2,20-21,high,8,106,2,1
2,20-21,high,9,79,2,1
2,20-21,high,10,101,2,1
2,20-21,high,11,52,2,1
2,20-21,high,12,46,2,1
2,20-21,high,13,41,2,1
2,20-21,high,14,26,2,1
2,20-21,high,15,109,2,1
2,20-21,high,16,74,2,1
2,20-21,high,17,100,2,1
2,20-21,high,18,0,2,1
2,20-21,high,19,114,2,1
2,20-21,high,20,124,2,1
2,22-23,low,1,0,2,3
2,22-23,low,2,109,2,3
2,22-23,low,3,88,2,3
2,22-23,low,4,NA,2,3
2,22-23,low,5,16,2,3
2,22-23,low,6,1,2,3
2,22-23,low,7,102,2,3
2,22-23,low,8,58,2,3
2,22-23,low,9,71,2,3
2,22-23,low,10,11,2,3
2,22-23,low,11,0,2,3
2,22-23,low,12,71,2,3
2,22-23,low,13,127,2,3
2,22-23,low,14,118,2,3
2,22-23,low,15,0,2,3
2,22-23,low,16,101,2,3
2,22-23,low,17,52,2,3
2,22-23,low,18,22,2,3
2,22-23,low,19,29,2,3
2,22-23,low,20,0,2,3
2,22-23,medium,1,1,2,3
2,22-23,medium,2,34,2,3
2,22-23,medium,3,125,2,3
2,22-23,medium,4,13,2,3
2,22-23,medium,5,0,2,3
2,22-23,medium,6,79,2,3
2,22-23,medium,7,82,2,3
2,22-23,medium,8,44,2,3
2,22-23,medium,9,10,2,3
2,22-23,medium,10,33,2,3
2,22-23,medium,11,0,2,3
2,22-23,medium,12,16,2,3
2,22-23,medium,13,110,2,3
2,22-23,medium,14,104,2,3
2,22-23,medium,15,0,2,3
2,22-23,medium,16,NA,2,3
2,22-23,medium,17,20,2,3
2,22-23,medium,18,2,2,3
2,22-23,medium,19,80,2,3
2,22-23,medium,20,0,2,3
2,22-23,high,1,7,2,3
2,22-23,high,2,26,2,3
2,22-23,high,3,26,2,3
2,22-23,high,4,105,2,3
2,22-23,high,5,106,2,3
2,22-23,high,6,51,2,3
2,22-23,high,7,59,2,3
2,22-23,high,8,0,2,3
2,22-23,high,9,70,2,3
2,22-23,high,10,100,2,3
2,22-23,high,11,142,2,3
2,22-23,high,12,52,2,3
2,22-23,high,13,36,2,3
2,22-23,high,14,0,2,3
2,22-23,high,15,100,2,3
2,22-23,high,16,81,2,3
2,22-23,high,17,44,2,3
2,22-23,high,18,0,2,3
2,22-23,high,19,59,2,3
2,22-23,high,20,113,2,3
2,24-27,low,1,0,4,NA
2,24-27,low,2,83,4,NA
2,24-27,low,3,48,4,NA
2,24-27,low,4,NA,4,NA
2,24-27,low,5,4,4,NA
2,24-27,low,6,1,4,NA
2,24-27,low,7,108,4,NA
2,24-27,low,8,3,4,NA
2,24-27,low,9,4,4,NA
2,24-27,low,10,31,4,NA
2,24-27,low,11,0,4,NA
2,24-27,low,12,29,4,NA
2,24-27,low,13,128,4,NA
2,24-27,low,14,46,4,NA
2,24-27,low,15,0,4,NA
2,24-27,low,16,82,4,NA
2,24-27,low,17,11,4,NA
2,24-27,low,18,17,4,NA
2,24-27,low,19,0,4,NA
2,24-27,low,20,0,4,NA
2,24-27,medium,1,0,4,NA
2,24-27,medium,2,104,4,NA
2,24-27,medium,3,54,4,NA
2,24-27,medium,4,115,4,NA
2,24-27,medium,5,NA,4,NA
2,24-27,medium,6,78,4,NA
2,24-27,medium,7,19,4,NA
2,24-27,medium,8,0,4,NA
2,24-27,medium,9,30,4,NA
2,24-27,medium,10,98,4,NA
2,24-27,medium,11,0,4,NA
2,24-27,medium,12,41,4,NA
2,24-27,medium,13,131,4,NA
2,24-27,medium,14,56,4,NA
2,24-27,medium,15,0,4,NA
2,24-27,medium,16,NA,4,NA
2,24-27,medium,17,19,4,NA
2,24-27,medium,18,86,4,NA
2,24-27,medium,19,121,4,NA
2,24-27,medium,20,79,4,NA
2,24-27,high,1,75,4,NA
2,24-27,high,2,18,4,NA
2,24-27,high,3,10,4,NA
2,24-27,high,4,125,4,NA
2,24-27,high,5,100,4,NA
2,24-27,high,6,122,4,NA
2,24-27,high,7,112,4,NA
2,24-27,high,8,0,3,NA
2,24-27,high,9,89,4,NA
2,24-27,high,10,62,4,NA
2,24-27,high,11,150,4,NA
2,24-27,high,12,38,4,NA
2,24-27,high,13,0,4,NA
2,24-27,high,14,0,4,NA
2,24-27,high,15,114,4,NA
2,24-27,high,16,65,4,NA
2,24-27,high,17,75,4,NA
2,24-27,high,18,NA,4,NA
2,24-27,high,19,113,4,NA
2,24-27,high,20,121,4,NA
2,28-31,low,1,0,4,NA
2,28-31,low,2,124,4,NA
2,28-31,low,3,84,4,NA
2,28-31,low,4,NA,4,NA
2,28-31,low,5,51,4,NA
2,28-31,low,6,20,4,NA
2,28-31,low,7,100,4,NA
2,28-31,low,8,105,4,NA
2,28-31,low,9,42,4,NA
2,28-31,low,10,0,3,NA
2,28-31,low,11,0,4,NA
2,28-31,low,12,81,4,NA
2,28-31,low,13,80,4,NA
2,28-31,low,14,125,4,NA
2,28-31,low,15,0,4,NA
2,28-31,low,16,96,4,NA
2,28-31,low,17,102,4,NA
2,28-31,low,18,0,4,NA
2,28-31,low,19,22,4,NA
2,28-31,low,20,NA,4,NA
2,28-31,medium,1,NA,4,NA
2,28-31,medium,2,105,4,NA
2,28-31,medium,3,131,4,NA
2,28-31,medium,4,106,4,NA
2,28-31,medium,5,NA,4,NA
2,28-31,medium,6,70,4,NA
2,28-31,medium,7,101,4,NA
2,28-31,medium,8,2,4,NA
2,28-31,medium,9,44,4,NA
2,28-31,medium,10,27,4,NA
2,28-31,medium,11,0,4,NA
2,28-31,medium,12,52,4,NA
2,28-31,medium,13,126,4,NA
2,28-31,medium,14,24,4,NA
2,28-31,medium,15,NA,4,NA
2,28-31,medium,16,NA,4,NA
2,28-31,medium,17,49,4,NA
2,28-31,medium,18,88,4,NA
2,28-31,medium,19,3,4,NA
2,28-31,medium,20,78,4,NA
2,28-31,high,1,1,4,NA
2,28-31,high,2,NA,4,NA
2,28-31,high,3,0,4,NA
2,28-31,high,4,45,4,NA
2,28-31,high,5,86,4,NA
2,28-31,high,6,122,4,NA
2,28-31,high,7,81,4,NA
2,28-31,high,8,NA,4,NA
2,28-31,high,9,34,4,NA
2,28-31,high,10,2,4,NA
2,28-31,high,11,78,4,NA
2,28-31,high,12,NA,4,NA
2,28-31,high,13,0,4,NA
2,28-31,high,14,2,4,NA
2,28-31,high,15,9,4,NA
2,28-31,high,16,95,4,NA
2,28-31,high,17,56,4,NA
2,28-31,high,18,NA,4,NA
2,28-31,high,19,85,4,NA
2,28-31,high,20,121,4,NA
2,32-35,low,1,0,4,NA
2,32-35,low,2,74,4,NA
2,32-35,low,3,0,4,NA
2,32-35,low,4,NA,4,NA
2,32-35,low,5,58,4,NA
2,32-35,low,6,0,4,NA
2,32-35,low,7,59,4,NA
2,32-35,low,8,,4,NA
2,32-35,low,9,12,4,NA
2,32-35,low,10,NA,4,NA
2,32-35,low,11,NA,4,NA
2,32-35,low,12,15,4,NA
2,32-35,low,13,0,4,NA
2,32-35,low,14,0,4,NA
2,32-35,low,15,0,4,NA
2,32-35,low,16,22,4,NA
2,32-35,low,17,35,4,NA
2,32-35,low,18,0,4,NA
2,32-35,low,19,NA,4,NA
2,32-35,low,20,NA,4,NA
2,32-35,medium,1,NA,4,NA
2,32-35,medium,2,67,4,NA
2,32-35,medium,3,104,4,NA
2,32-35,medium,4,22,4,NA
2,32-35,medium,5,NA,4,NA
2,32-35,medium,6,63,4,NA
2,32-35,medium,7,53,4,NA
2,32-35,medium,8,0,4,NA
