replicate,batch,female_age,treatment,vial,total_offspring,days
1,1,4-5,low,1,57,2
1,1,4-5,low,2,101,2
1,1,4-5,low,3,31,2
1,1,4-5,low,4,0,2
1,1,4-5,low,5,9,2
1,1,4-5,low,6,120,2
1,1,4-5,low,7,103,2
1,1,4-5,low,8,107,2
1,1,4-5,low,9,103,2
1,1,4-5,low,10,35,2
1,1,4-5,low,11,99,2
1,1,4-5,low,12,130,2
1,1,4-5,low,13,85,2
1,1,4-5,low,14,96,2
1,1,4-5,low,15,153,2
1,1,4-5,low,16,125,2
1,1,4-5,low,17,105,2
1,1,4-5,low,18,79,2
1,1,4-5,low,19,119,2
1,1,4-5,low,20,134,2
1,1,4-5,medium,1,67,2
1,1,4-5,medium,2,113,2
1,1,4-5,medium,3,100,2
1,1,4-5,medium,4,116,2
1,1,4-5,medium,5,148,2
1,1,4-5,medium,6,125,2
1,1,4-5,medium,7,127,2
1,1,4-5,medium,8,108,2
1,1,4-5,medium,9,139,2
1,1,4-5,medium,10,130,2
1,1,4-5,medium,11,97,2
1,1,4-5,medium,12,138,2
1,1,4-5,medium,13,111,2
1,1,4-5,medium,14,128,2
1,1,4-5,medium,15,76,2
1,1,4-5,medium,16,104,2
1,1,4-5,medium,17,98,2
1,1,4-5,medium,18,96,2
1,1,4-5,medium,19,131,2
1,1,4-5,medium,20,117,2
1,1,4-5,high,1,92,2
1,1,4-5,high,2,141,2
1,1,4-5,high,3,148,2
1,1,4-5,high,4,114,2
1,1,4-5,high,5,95,2
1,1,4-5,high,6,110,2
1,1,4-5,high,7,132,2
1,1,4-5,high,8,113,2
1,1,4-5,high,9,134,2
1,1,4-5,high,10,29,2
1,1,4-5,high,11,105,2
1,1,4-5,high,12,118,2
1,1,4-5,high,13,123,2
1,1,4-5,high,14,132,2
1,1,4-5,high,15,118,2
1,1,4-5,high,16,133,2
1,1,4-5,high,17,149,2
1,1,4-5,high,18,54,2
1,1,4-5,high,19,133,2
1,1,4-5,high,20,95,2
1,2,6-7,low,1,62,2
1,2,6-7,low,2,149,2
1,2,6-7,low,3,0,2
1,2,6-7,low,4,0,2
1,2,6-7,low,5,0,2
1,2,6-7,low,6,138,2
1,2,6-7,low,7,83,2
1,2,6-7,low,8,75,2
1,2,6-7,low,9,123,2
1,2,6-7,low,10,35,2
1,2,6-7,low,11,97,2
1,2,6-7,low,12,118,2
1,2,6-7,low,13,72,2
1,2,6-7,low,14,98,2
1,2,6-7,low,15,94,2
1,2,6-7,low,16,95,2
1,2,6-7,low,17,112,2
1,2,6-7,low,18,41,2
1,2,6-7,low,19,142,2
1,2,6-7,low,20,140,2
1,2,6-7,medium,1,30,2
1,2,6-7,medium,2,128,2
1,2,6-7,medium,3,153,2
1,2,6-7,medium,4,122,2
1,2,6-7,medium,5,137,2
1,2,6-7,medium,6,144,2
1,2,6-7,medium,7,130,2
1,2,6-7,medium,8,111,2
1,2,6-7,medium,9,141,2
1,2,6-7,medium,10,122,2
1,2,6-7,medium,11,118,2
1,2,6-7,medium,12,142,2
1,2,6-7,medium,13,118,2
1,2,6-7,medium,14,141,2
1,2,6-7,medium,15,106,2
1,2,6-7,medium,16,121,2
1,2,6-7,medium,17,108,2
1,2,6-7,medium,18,115,2
1,2,6-7,medium,19,97,2
1,2,6-7,medium,20,133,2
1,2,6-7,high,1,95,2
1,2,6-7,high,2,167,2
1,2,6-7,high,3,164,2
1,2,6-7,high,4,132,2
1,2,6-7,high,5,103,2
1,2,6-7,high,6,125,2
1,2,6-7,high,7,135,2
1,2,6-7,high,8,156,2
1,2,6-7,high,9,90,2
1,2,6-7,high,10,16,2
1,2,6-7,high,11,157,2
1,2,6-7,high,12,151,2
1,2,6-7,high,13,128,2
1,2,6-7,high,14,125,2
1,2,6-7,high,15,122,2
1,2,6-7,high,16,55,2
1,2,6-7,high,17,146,2
1,2,6-7,high,18,79,2
1,2,6-7,high,19,133,2
1,2,6-7,high,20,79,2
1,3,8-9,low,1,50,2
1,3,8-9,low,2,123,2
1,3,8-9,low,3,0,2
1,3,8-9,low,4,0,2
1,3,8-9,low,5,0,2
1,3,8-9,low,6,103,2
1,3,8-9,low,7,63,2
1,3,8-9,low,8,51,2
1,3,8-9,low,9,110,2
1,3,8-9,low,10,9,2
1,3,8-9,low,11,80,2
1,3,8-9,low,12,25,2
1,3,8-9,low,13,55,2
1,3,8-9,low,14,105,2
1,3,8-9,low,15,41,2
1,3,8-9,low,16,118,2
1,3,8-9,low,17,89,2
1,3,8-9,low,18,2,2
1,3,8-9,low,19,130,2
1,3,8-9,low,20,111,2
1,3,8-9,medium,1,4,2
1,3,8-9,medium,2,60,2
1,3,8-9,medium,3,107,2
1,3,8-9,medium,4,138,2
1,3,8-9,medium,5,122,2
1,3,8-9,medium,6,159,2
1,3,8-9,medium,7,133,2
1,3,8-9,medium,8,88,2
1,3,8-9,medium,9,163,2
1,3,8-9,medium,10,140,2
1,3,8-9,medium,11,115,2
1,3,8-9,medium,12,155,2
1,3,8-9,medium,13,98,2
1,3,8-9,medium,14,136,2
1,3,8-9,medium,15,116,2
1,3,8-9,medium,16,110,2
1,3,8-9,medium,17,67,2
1,3,8-9,medium,18,113,2
1,3,8-9,medium,19,158,2
1,3,8-9,medium,20,146,2
1,3,8-9,high,1,93,2
1,3,8-9,high,2,88,2
1,3,8-9,high,3,108,2
1,3,8-9,high,4,108,2
1,3,8-9,high,5,131,2
1,3,8-9,high,6,40,2
1,3,8-9,high,7,131,2
1,3,8-9,high,8,51,2
1,3,8-9,high,9,153,2
1,3,8-9,high,10,23,2
1,3,8-9,high,11,151,2
1,3,8-9,high,12,108,2
1,3,8-9,high,13,137,2
1,3,8-9,high,14,124,2
1,3,8-9,high,15,114,2
1,3,8-9,high,16,98,2
1,3,8-9,high,17,138,2
1,3,8-9,high,18,80,2
1,3,8-9,high,19,151,2
1,3,8-9,high,20,74,2
1,4,10-11,low,1,45,2
1,4,10-11,low,2,46,2
1,4,10-11,low,3,0,2
1,4,10-11,low,4,0,2
1,4,10-11,low,5,1,2
1,4,10-11,low,6,44,2
1,4,10-11,low,7,30,2
1,4,10-11,low,8,2,2
1,4,10-11,low,9,85,2
1,4,10-11,low,10,15,2
1,4,10-11,low,11,65,2
1,4,10-11,low,12,2,2
1,4,10-11,low,13,70,2
1,4,10-11,low,14,119,2
1,4,10-11,low,15,13,2
1,4,10-11,low,16,108,2
1,4,10-11,low,17,97,2
1,4,10-11,low,18,0,2
1,4,10-11,low,19,55,2
1,4,10-11,low,20,55,2
1,4,10-11,medium,1,0,2
1,4,10-11,medium,2,0,2
1,4,10-11,medium,3,114,2
1,4,10-11,medium,4,139,2
1,4,10-11,medium,5,29,2
1,4,10-11,medium,6,132,2
1,4,10-11,medium,7,103,2
1,4,10-11,medium,8,89,2
1,4,10-11,medium,9,48,2
1,4,10-11,medium,10,132,2
1,4,10-11,medium,11,77,2
1,4,10-11,medium,12,109,2
1,4,10-11,medium,13,99,2
1,4,10-11,medium,14,150,2
1,4,10-11,medium,15,119,2
1,4,10-11,medium,16,99,2
1,4,10-11,medium,17,0,2
1,4,10-11,medium,18,123,2
1,4,10-11,medium,19,102,2
1,4,10-11,medium,20,141,2
1,4,10-11,high,1,97,2
1,4,10-11,high,2,111,2
1,4,10-11,high,3,125,2
1,4,10-11,high,4,74,2
1,4,10-11,high,5,111,2
1,4,10-11,high,6,148,2
1,4,10-11,high,7,121,2
1,4,10-11,high,8,123,2
1,4,10-11,high,9,149,2
1,4,10-11,high,10,104,2
1,4,10-11,high,11,159,2
1,4,10-11,high,12,113,2
1,4,10-11,high,13,127,2
1,4,10-11,high,14,159,2
1,4,10-11,high,15,117,2
1,4,10-11,high,16,102,2
1,4,10-11,high,17,126,2
1,4,10-11,high,18,126,2
1,4,10-11,high,19,140,2
1,4,10-11,high,20,88,2
1,5,12-13,low,1,54,2
1,5,12-13,low,2,130,2
1,5,12-13,low,3,0,2
1,5,12-13,low,4,77,2
1,5,12-13,low,5,1,2
1,5,12-13,low,6,132,2
1,5,12-13,low,7,86,2
1,5,12-13,low,8,100,2
1,5,12-13,low,9,108,2
1,5,12-13,low,10,33,2
1,5,12-13,low,11,79,2
1,5,12-13,low,12,114,2
1,5,12-13,low,13,72,2
1,5,12-13,low,14,128,2
1,5,12-13,low,15,99,2
1,5,12-13,low,16,94,2
1,5,12-13,low,17,120,2
1,5,12-13,low,18,134,2
1,5,12-13,low,19,127,2
1,5,12-13,low,20,127,2
1,5,12-13,medium,1,0,2
1,5,12-13,medium,2,99,2
1,5,12-13,medium,3,105,2
1,5,12-13,medium,4,154,2
1,5,12-13,medium,5,148,2
1,5,12-13,medium,6,127,2
1,5,12-13,medium,7,101,2
1,5,12-13,medium,8,84,2
1,5,12-13,medium,9,121,2
1,5,12-13,medium,10,38,2
1,5,12-13,medium,11,101,2
1,5,12-13,medium,12,52,2
1,5,12-13,medium,13,107,2
1,5,12-13,medium,14,67,2
1,5,12-13,medium,15,97,2
1,5,12-13,medium,16,97,2
1,5,12-13,medium,17,90,2
1,5,12-13,medium,18,120,2
1,5,12-13,medium,19,155,2
1,5,12-13,medium,20,147,2
1,5,12-13,high,1,62,2
1,5,12-13,high,2,106,2
1,5,12-13,high,3,1,2
1,5,12-13,high,4,127,2
1,5,12-13,high,5,106,2
1,5,12-13,high,6,139,2
1,5,12-13,high,7,123,2
1,5,12-13,high,8,115,2
1,5,12-13,high,9,142,2
1,5,12-13,high,10,133,2
1,5,12-13,high,11,155,2
1,5,12-13,high,12,110,2
1,5,12-13,high,13,103,2
1,5,12-13,high,14,154,2
